Geneid	Chr	Start	End	Strand	Length	align/bam/SRR20959676	align/bam/SRR20959677	align/bam/SRR20959678	align/bam/SRR20959679	align/bam/SRR20959680	align/bam/SRR20959681	align/bam/SRR20959682	align/bam/SRR20959683
SAUSA300_RS07565	NC_007793.1	1550725	1550889	-	165	0	0	0	0	0	0	0	0
SAUSA300_RS07570	NC_007793.1	1550882	1551271	-	390	0	0	0	0	0	0	0	0
SAUSA300_RS07575	NC_007793.1	1551271	1552737	-	1467	0	0	0	0	0	0	0	0
SAUSA300_RS07580	NC_007793.1	1552737	1554647	-	1911	0	0	0	0	0	0	0	0
SAUSA300_RS07585	NC_007793.1	1554663	1554953	-	291	0	0	0	0	0	0	0	0
SAUSA300_RS07590	NC_007793.1	1554953	1556536	-	1584	0	0	0	0	0	0	0	0
SAUSA300_RS07595	NC_007793.1	1556545	1557369	-	825	0	0	0	0	0	0	0	0
SAUSA300_RS07600	NC_007793.1	1557369	1563569	-	6201	0	12	0	0	0	0	0	0
SAUSA300_RS07605	NC_007793.1	1563583	1563741	-	159	0	0	0	0	0	0	0	0
SAUSA300_RS07610	NC_007793.1	1563783	1564133	-	351	0	0	0	0	0	0	0	0
SAUSA300_RS07615	NC_007793.1	1564191	1564646	-	456	0	0	0	0	0	0	0	0
SAUSA300_RS07620	NC_007793.1	1564738	1565379	-	642	0	0	0	0	0	0	0	0
SAUSA300_RS07625	NC_007793.1	1565414	1565809	-	396	0	0	0	0	0	0	0	0
SAUSA300_RS07630	NC_007793.1	1565810	1566211	-	402	0	0	0	0	0	0	0	0
SAUSA300_RS07635	NC_007793.1	1566208	1566540	-	333	0	0	0	0	0	0	0	0
SAUSA300_RS07640	NC_007793.1	1566552	1566830	-	279	0	0	0	0	0	0	0	0
SAUSA300_RS07645	NC_007793.1	1566899	1568062	-	1164	0	0	0	0	0	0	0	0
SAUSA300_RS07650	NC_007793.1	1568074	1568847	-	774	0	0	0	0	0	0	0	0
SAUSA300_RS07655	NC_007793.1	1568831	1570069	-	1239	0	0	0	0	0	0	0	0
SAUSA300_RS07660	NC_007793.1	1570074	1571765	-	1692	0	0	0	0	0	0	0	0
SAUSA300_RS07665	NC_007793.1	1571755	1572060	-	306	0	0	0	0	0	0	0	0
SAUSA300_RS07670	NC_007793.1	1572187	1572501	-	315	0	0	0	0	0	0	0	0
SAUSA300_RS07675	NC_007793.1	1572658	1573095	-	438	0	0	0	0	0	0	0	0
SAUSA300_RS07680	NC_007793.1	1573108	1574475	-	1368	0	0	0	0	0	0	0	0
SAUSA300_RS07685	NC_007793.1	1574456	1574746	-	291	0	2	0	0	0	0	0	0
SAUSA300_RS07690	NC_007793.1	1574880	1574978	+	99	0	1	0	0	0	0	0	0
SAUSA300_RS07695	NC_007793.1	1575087	1577534	-	2448	0	18	0	0	0	0	0	0
SAUSA300_RS07700	NC_007793.1	1577822	1578022	-	201	0	2	0	0	0	0	0	0
SAUSA300_RS07705	NC_007793.1	1578090	1578242	-	153	0	0	0	0	0	0	0	0
SAUSA300_RS07710	NC_007793.1	1578239	1578625	-	387	0	4	0	0	0	5	0	0
SAUSA300_RS07715	NC_007793.1	1578618	1578854	-	237	0	0	0	0	0	0	0	0
SAUSA300_RS07720	NC_007793.1	1578847	1579050	-	204	0	2	0	0	0	0	0	0
SAUSA300_RS07725	NC_007793.1	1579047	1579253	-	207	12	0	0	0	0	0	0	0
SAUSA300_RS07730	NC_007793.1	1579290	1579826	-	537	331	30	29	36	6	80	0	10
SAUSA300_RS07735	NC_007793.1	1579819	1580067	-	249	0	0	4	0	0	0	0	0
SAUSA300_RS07740	NC_007793.1	1580082	1580324	-	243	0	0	0	0	0	0	10	0
SAUSA300_RS07745	NC_007793.1	1580339	1580539	-	201	0	0	0	0	0	0	0	0
SAUSA300_RS07750	NC_007793.1	1580542	1580799	-	258	0	0	12	0	0	0	10	0
SAUSA300_RS07755	NC_007793.1	1580799	1581200	-	402	2	0	0	0	0	0	0	0
SAUSA300_RS07760	NC_007793.1	1581200	1581385	-	186	0	0	0	0	0	0	0	0
SAUSA300_RS07765	NC_007793.1	1581398	1583350	-	1953	0	10	0	0	0	0	0	0
SAUSA300_RS07770	NC_007793.1	1583418	1583975	-	558	0	0	0	0	0	0	0	0
SAUSA300_RS07775	NC_007793.1	1584001	1585167	-	1167	0	0	0	0	0	0	0	0
SAUSA300_RS07780	NC_007793.1	1585164	1585526	-	363	0	0	0	0	0	0	0	0
SAUSA300_RS07785	NC_007793.1	1585540	1585800	-	261	0	0	0	0	0	0	10	0
SAUSA300_RS07790	NC_007793.1	1585805	1586107	-	303	9	5	4	4	0	0	0	0
SAUSA300_RS07795	NC_007793.1	1586100	1586417	-	318	0	0	0	0	0	0	0	0
SAUSA300_RS07800	NC_007793.1	1586510	1586644	-	135	28	0	11	0	0	3	30	4
SAUSA300_RS07805	NC_007793.1	1586683	1586946	-	264	0	2	0	0	0	0	0	0
SAUSA300_RS07810	NC_007793.1	1586971	1587186	-	216	0	0	0	0	0	0	0	0
SAUSA300_RS07815	NC_007793.1	1587233	1587472	+	240	11	3	0	0	0	0	0	12
SAUSA300_RS15875	NC_007793.1	1587469	1587645	-	177	0	0	0	0	0	0	0	0
SAUSA300_RS07820	NC_007793.1	1587729	1587920	-	192	0	0	0	0	0	0	0	0
SAUSA300_RS07825	NC_007793.1	1588081	1588410	+	330	0	0	0	0	0	0	0	0
SAUSA300_RS07830	NC_007793.1	1588423	1588884	+	462	0	12	0	0	0	0	8	0
SAUSA300_RS07835	NC_007793.1	1588902	1589336	+	435	0	0	0	0	0	0	0	0
SAUSA300_RS07840	NC_007793.1	1589365	1589760	+	396	0	18	0	0	0	0	0	0
SAUSA300_RS07845	NC_007793.1	1589850	1589996	+	147	0	0	0	0	0	0	0	0
SAUSA300_RS07850	NC_007793.1	1589993	1590607	-	615	0	2	0	0	0	9	33	0
SAUSA300_RS07855	NC_007793.1	1590733	1591938	+	1206	0	4	0	0	0	0	0	0
SAUSA300_RS07865	NC_007793.1	1594000	1594929	-	930	2	12	20	0	0	0	6	0
SAUSA300_RS07870	NC_007793.1	1595174	1596925	-	1752	120	5	22	32	31	64	300	26
SAUSA300_RS07875	NC_007793.1	1596906	1597631	-	726	275	61	142	106	166	123	519	114
SAUSA300_RS07880	NC_007793.1	1597764	1598501	-	738	4	4	9	0	6	2	4	0
SAUSA300_RS07885	NC_007793.1	1598494	1599036	-	543	14	10	8	0	4	24	18	2
SAUSA300_RS07890	NC_007793.1	1599029	1599760	-	732	46	22	37	10	10	9	22	18
SAUSA300_RS07895	NC_007793.1	1599852	1600358	+	507	14	4	17	0	4	2	22	16
SAUSA300_RS07900	NC_007793.1	1600436	1601323	-	888	1200	184	190	129	227	314	602	329
SAUSA300_RS07905	NC_007793.1	1601372	1601821	-	450	384	53	60	61	73	164	280	51
SAUSA300_RS07910	NC_007793.1	1601926	1602468	-	543	6	0	0	0	2	16	2	0
SAUSA300_RS07915	NC_007793.1	1602550	1603458	+	909	198	54	111	133	161	80	131	9
SAUSA300_RS07920	NC_007793.1	1603674	1603922	-	249	33	25	12	45	72	29	73	1
SAUSA300_RS07925	NC_007793.1	1603938	1604693	-	756	96	63	0	70	89	46	104	6
SAUSA300_RS07930	NC_007793.1	1604835	1605650	+	816	252	118	30	163	384	141	194	68
SAUSA300_RS07935	NC_007793.1	1605755	1606675	-	921	22	10	24	5	11	14	59	4
SAUSA300_RS07940	NC_007793.1	1606988	1608472	+	1485	968	296	931	371	929	808	2468	269
SAUSA300_RS07945	NC_007793.1	1608702	1609568	+	867	826	208	373	311	375	290	1204	217
SAUSA300_RS07950	NC_007793.1	1609651	1611300	-	1650	80	8	90	14	2	18	130	6
SAUSA300_RS07955	NC_007793.1	1611316	1612335	-	1020	4	0	8	2	0	0	10	2
SAUSA300_RS07960	NC_007793.1	1612336	1612590	-	255	0	0	0	0	0	0	0	0
SAUSA300_RS07965	NC_007793.1	1612529	1612900	-	372	54	23	212	90	385	1	342	39
SAUSA300_RS07970	NC_007793.1	1613119	1614525	-	1407	306	182	1398	82	176	372	2028	134
SAUSA300_RS07975	NC_007793.1	1614593	1615726	-	1134	191	36	201	243	260	83	590	42
SAUSA300_RS07980	NC_007793.1	1615989	1616168	+	180	1	0	0	1	0	0	1	0
SAUSA300_RS07985	NC_007793.1	1616295	1617275	-	981	65	66	82	30	69	94	241	14
SAUSA300_RS07990	NC_007793.1	1617289	1617726	-	438	88	4	14	12	24	22	60	8
SAUSA300_RS07995	NC_007793.1	1618077	1619351	-	1275	1252	539	180	425	670	1094	459	245
SAUSA300_RS08000	NC_007793.1	1619364	1620347	-	984	1463	461	282	748	1046	849	1037	292
SAUSA300_RS08005	NC_007793.1	1620347	1621339	-	993	676	111	132	176	238	220	2198	96
SAUSA300_RS08010	NC_007793.1	1621355	1622776	-	1422	8714	2101	1991	3992	5224	3821	2601	2922
SAUSA300_RS08015	NC_007793.1	1622927	1624606	-	1680	285	62	113	104	236	134	415	37
SAUSA300_RS08020	NC_007793.1	1624622	1625074	-	453	10	0	0	16	44	8	8	4
SAUSA300_RS08025	NC_007793.1	1625506	1626387	-	882	28	15	128	18	37	23	240	5
SAUSA300_RS08030	NC_007793.1	1626365	1626595	-	231	0	0	0	0	2	0	0	0
SAUSA300_RS08035	NC_007793.1	1626588	1627925	-	1338	185	124	44	94	155	107	450	56
SAUSA300_RS08040	NC_007793.1	1627942	1628331	-	390	19	6	0	0	4	4	14	0
SAUSA300_RS08045	NC_007793.1	1628391	1628753	-	363	43	13	10	42	44	39	86	4
SAUSA300_RS08050	NC_007793.1	1628768	1630123	-	1356	259	48	108	241	274	112	581	125
SAUSA300_RS08055	NC_007793.1	1630123	1630587	-	465	20	6	18	34	29	30	68	13
SAUSA300_RS08060	NC_007793.1	1630942	1631478	-	537	0	0	0	13	0	0	24	0
SAUSA300_RS08065	NC_007793.1	1631459	1631962	-	504	0	0	0	2	0	0	32	0
SAUSA300_RS08070	NC_007793.1	1632071	1632427	-	357	0	0	0	0	0	0	0	0
SAUSA300_RS08075	NC_007793.1	1632483	1633073	-	591	0	0	0	2	0	0	0	0
SAUSA300_RS08080	NC_007793.1	1633080	1634126	-	1047	0	0	0	20	0	0	27	0
SAUSA300_RS08085	NC_007793.1	1634116	1635963	-	1848	0	0	0	18	0	0	8	0
SAUSA300_RS08090	NC_007793.1	1635968	1637326	-	1359	0	0	0	5	0	0	7	0
SAUSA300_RS08095	NC_007793.1	1637380	1639875	-	2496	0	0	4	6	0	0	42	0
SAUSA300_RS08100	NC_007793.1	1639910	1640293	-	384	0	0	0	0	0	0	0	0
SAUSA300_RS08105	NC_007793.1	1640305	1640565	-	261	0	0	0	0	0	0	0	0
SAUSA300_RS08110	NC_007793.1	1640570	1641625	-	1056	0	0	0	0	0	0	0	0
SAUSA300_RS08115	NC_007793.1	1641686	1642777	-	1092	0	0	0	37	0	0	30	0
SAUSA300_RS08120	NC_007793.1	1642952	1643254	-	303	0	0	0	14	0	0	2	0
SAUSA300_RS08125	NC_007793.1	1643268	1643588	-	321	0	0	0	1	0	0	6	0
SAUSA300_RS08130	NC_007793.1	1643739	1644023	-	285	0	0	0	0	0	0	0	0
SAUSA300_RS08135	NC_007793.1	1644418	1644975	-	558	4	8	6	6	10	2	16	14
SAUSA300_RS08140	NC_007793.1	1645001	1646062	-	1062	18	16	14	8	41	18	6	2
SAUSA300_RS08145	NC_007793.1	1646167	1646748	+	582	0	2	14	0	0	2	0	2
SAUSA300_RS08150	NC_007793.1	1646762	1646980	+	219	1	0	0	0	1	2	0	0
SAUSA300_RS08155	NC_007793.1	1647044	1647874	-	831	130	32	30	36	96	48	111	38
SAUSA300_RS08160	NC_007793.1	1648032	1648418	+	387	49	0	0	8	19	1	16	5
SAUSA300_RS08165	NC_007793.1	1648783	1650255	-	1473	558	46	462	321	287	221	1029	150
SAUSA300_RS08170	NC_007793.1	1650248	1651594	-	1347	529	15	310	400	394	130	1228	128
SAUSA300_RS08175	NC_007793.1	1651614	1652705	-	1092	80	4	42	20	61	14	72	12
SAUSA300_RS08180	NC_007793.1	1652864	1653388	-	525	6	0	16	38	5	2	48	2
SAUSA300_RS08185	NC_007793.1	1653378	1653524	-	147	0	0	0	0	0	0	0	0
SAUSA300_RS08190	NC_007793.1	1653621	1654118	-	498	0	0	0	0	0	0	0	0
SAUSA300_RS08195	NC_007793.1	1654036	1654335	-	300	0	0	0	0	0	0	0	0
SAUSA300_RS08200	NC_007793.1	1654322	1654768	-	447	0	0	10	0	0	0	0	0
SAUSA300_RS08205	NC_007793.1	1654746	1655057	-	312	0	0	0	0	0	0	0	0
SAUSA300_RS08210	NC_007793.1	1655071	1656141	-	1071	0	0	10	0	0	0	0	0
SAUSA300_RS08215	NC_007793.1	1656113	1657087	-	975	0	0	18	0	0	4	0	0
SAUSA300_RS08220	NC_007793.1	1657139	1657762	-	624	41	14	16	4	24	18	105	4
SAUSA300_RS08225	NC_007793.1	1657759	1658088	-	330	337	68	160	44	131	142	129	162
SAUSA300_RS08230	NC_007793.1	1658088	1659074	-	987	86	14	30	28	75	23	102	22
SAUSA300_RS08235	NC_007793.1	1659071	1659274	-	204	0	0	0	0	0	0	0	0
SAUSA300_RS08240	NC_007793.1	1659255	1660718	-	1464	30	16	76	12	21	34	16	30
SAUSA300_RS08245	NC_007793.1	1660730	1661269	-	540	0	0	0	0	0	0	8	0
SAUSA300_RS08250	NC_007793.1	1661478	1661627	-	150	2	0	0	0	0	0	1	0
SAUSA300_RS08255	NC_007793.1	1661740	1663815	-	2076	859	128	238	328	282	170	1385	272
SAUSA300_RS08260	NC_007793.1	1663936	1664535	-	600	285	64	104	232	228	182	568	46
SAUSA300_RS08265	NC_007793.1	1664812	1665222	-	411	0	0	0	0	0	0	0	0
SAUSA300_RS08270	NC_007793.1	1665209	1666072	-	864	34	38	77	18	28	13	20	6
SAUSA300_RS08275	NC_007793.1	1666114	1666899	-	786	18	12	32	2	2	9	16	14
SAUSA300_RS08280	NC_007793.1	1667025	1667915	-	891	208	46	202	24	48	88	228	80
SAUSA300_RS08285	NC_007793.1	1667925	1669271	-	1347	26	20	62	8	18	28	260	31
SAUSA300_RS08290	NC_007793.1	1669385	1670485	-	1101	120	50	76	4	36	16	160	48
SAUSA300_RS08295	NC_007793.1	1670488	1671165	-	678	142	14	46	4	35	24	214	2
SAUSA300_RS08300	NC_007793.1	1671296	1672402	-	1107	8729	2348	2014	1374	3853	2433	9552	2041
SAUSA300_RS08305	NC_007793.1	1672626	1674425	-	1800	2595	840	1108	594	1716	1106	3583	489
SAUSA300_RS08310	NC_007793.1	1674486	1675304	-	819	136	49	157	75	64	128	621	24
SAUSA300_RS08315	NC_007793.1	1675315	1675938	-	624	2	0	6	0	4	0	6	0
SAUSA300_RS08320	NC_007793.1	1676273	1677664	+	1392	2375	414	1876	272	909	646	2363	579
SAUSA300_RS08325	NC_007793.1	1677814	1678560	-	747	304	52	108	90	263	155	744	66
SAUSA300_RS08330	NC_007793.1	1678588	1679487	-	900	705	195	491	118	275	534	1513	219
SAUSA300_RS08335	NC_007793.1	1679488	1679892	-	405	179	29	11	33	80	88	218	36
SAUSA300_RS08340	NC_007793.1	1679903	1680247	-	345	125	78	73	37	107	88	194	64
SAUSA300_RS08345	NC_007793.1	1680250	1680717	-	468	35	32	31	25	31	68	352	22
SAUSA300_RS08350	NC_007793.1	1680718	1681665	-	948	492	104	94	94	346	268	1110	90
SAUSA300_RS08355	NC_007793.1	1681969	1682667	-	699	1	361	1020	483	385	918	3405	0
SAUSA300_RS08360	NC_007793.1	1682684	1683673	-	990	5339	8159	9387	27278	10178	15021	42842	1953
SAUSA300_RS08365	NC_007793.1	1683691	1684374	-	684	689	2651	5511	1989	1152	2291	6574	434
SAUSA300_RS08370	NC_007793.1	1684618	1684794	-	177	67	70	116	72	58	43	176	44
SAUSA300_RS08375	NC_007793.1	1685087	1686433	-	1347	367	44	166	97	131	48	699	150
SAUSA300_RS08380	NC_007793.1	1686440	1687192	-	753	103	58	78	42	45	36	535	61
SAUSA300_RS08385	NC_007793.1	1687194	1688132	-	939	1380	94	58	218	262	63	664	153
SAUSA300_RS08390	NC_007793.1	1688136	1689275	-	1140	4106	520	164	776	750	154	1289	544
SAUSA300_RS08395	NC_007793.1	1689411	1691243	-	1833	109966	4830	4636	21162	18303	5542	61106	10671
SAUSA300_RS08400	NC_007793.1	1691312	1691938	-	627	494	36	24	58	56	29	314	30
SAUSA300_RS08405	NC_007793.1	1691970	1692947	-	978	2866	802	890	647	733	278	3290	756
SAUSA300_RS08410	NC_007793.1	1693047	1694171	-	1125	14	0	18	0	0	18	18	0
SAUSA300_RS08420	NC_007793.1	1694734	1696557	-	1824	88	14	64	34	28	12	248	44
SAUSA300_RS08425	NC_007793.1	1696903	1697154	+	252	0	0	0	0	6	0	18	12
SAUSA300_RS08430	NC_007793.1	1697199	1698173	-	975	2	0	0	0	2	2	8	0
SAUSA300_RS08435	NC_007793.1	1698230	1700431	-	2202	4	6	26	8	14	12	28	8
SAUSA300_RS08440	NC_007793.1	1700436	1700897	-	462	16	6	22	0	27	4	50	2
SAUSA300_RS08445	NC_007793.1	1700989	1701675	-	687	36	6	235	4	26	4	54	6
SAUSA300_RS08450	NC_007793.1	1701715	1702431	-	717	599	164	180	161	366	147	413	315
SAUSA300_RS08455	NC_007793.1	1702434	1702787	-	354	0	0	0	0	0	0	3	0
SAUSA300_RS08460	NC_007793.1	1702788	1703372	-	585	69	0	10	6	19	11	45	6
SAUSA300_RS08465	NC_007793.1	1703362	1703931	-	570	16	0	7	3	1	12	21	8
SAUSA300_RS08470	NC_007793.1	1703934	1704224	-	291	0	0	0	1	0	2	7	1
SAUSA300_RS08475	NC_007793.1	1704228	1705034	-	807	19	6	7	14	32	17	28	11
SAUSA300_RS08480	NC_007793.1	1705048	1706148	-	1101	28	2	24	20	5	4	58	13
SAUSA300_RS08485	NC_007793.1	1706149	1706676	-	528	1	0	0	0	10	0	30	3
SAUSA300_RS08490	NC_007793.1	1706696	1707382	-	687	1	14	13	0	2	10	20	0
SAUSA300_RS08500	NC_007793.1	1707696	1707965	+	270	0	0	0	0	0	0	6	4
SAUSA300_RS08505	NC_007793.1	1708167	1708919	-	753	0	10	20	3	0	0	0	0
SAUSA300_RS08510	NC_007793.1	1709333	1710553	-	1221	6	0	8	2	6	0	10	0
SAUSA300_RS08515	NC_007793.1	1710842	1712071	-	1230	718	38	236	178	272	214	278	156
SAUSA300_RS08520	NC_007793.1	1712084	1712836	-	753	31	4	30	14	24	3	21	29
SAUSA300_RS08525	NC_007793.1	1712836	1714197	-	1362	145	4	32	70	54	22	68	61
SAUSA300_RS08530	NC_007793.1	1714211	1714660	-	450	6	0	0	2	1	0	12	2
SAUSA300_RS08535	NC_007793.1	1714662	1715672	-	1011	79	0	20	6	36	20	61	44
SAUSA300_RS08540	NC_007793.1	1715662	1716396	-	735	20	8	24	3	3	8	27	18
SAUSA300_RS08545	NC_007793.1	1716722	1717198	-	477	15	16	45	4	20	21	112	1
SAUSA300_RS08550	NC_007793.1	1717226	1717849	-	624	669	138	261	234	284	397	1504	189
SAUSA300_RS08555	NC_007793.1	1717849	1719117	-	1269	683	90	211	112	176	271	477	190
SAUSA300_RS08560	NC_007793.1	1719129	1720052	-	924	371	90	116	28	179	271	918	104
SAUSA300_RS08565	NC_007793.1	1720055	1720693	-	639	0	2	10	2	0	2	2	3
SAUSA300_RS08570	NC_007793.1	1720978	1721286	-	309	23	2	1	2	5	6	16	0
SAUSA300_RS08575	NC_007793.1	1721301	1721729	-	429	323	68	76	90	245	110	405	56
SAUSA300_RS08580	NC_007793.1	1721733	1721993	-	261	328	65	30	276	345	108	353	69
SAUSA300_RS08585	NC_007793.1	1722056	1724686	-	2631	325	16	178	110	86	150	406	105
SAUSA300_RS08590	NC_007793.1	1725029	1727506	-	2478	69	26	62	22	16	28	108	12
SAUSA300_RS08595	NC_007793.1	1727508	1728176	-	669	7	6	8	0	2	0	18	6
SAUSA300_RS08600	NC_007793.1	1728638	1729756	-	1119	284	32	98	72	250	246	460	80
SAUSA300_RS08605	NC_007793.1	1729757	1730899	-	1143	564	42	120	194	300	246	1074	102
SAUSA300_RS08610	NC_007793.1	1731211	1732224	+	1014	864	58	22	296	535	120	363	82
SAUSA300_RS08615	NC_007793.1	1732461	1732607	-	147	0	0	7	0	0	0	0	0
SAUSA300_RS08620	NC_007793.1	1732647	1732829	-	183	6	0	0	0	0	2	0	0
SAUSA300_RS08625	NC_007793.1	1732929	1733351	-	423	46	6	24	14	10	7	34	4
SAUSA300_RS08630	NC_007793.1	1733436	1734710	+	1275	619	76	112	600	406	168	1597	189
SAUSA300_RS08635	NC_007793.1	1734871	1735644	-	774	251	144	50	44	104	108	225	156
SAUSA300_RS08640	NC_007793.1	1735644	1735772	-	129	7	5	3	0	0	0	4	1
SAUSA300_RS15370	NC_007793.1	1735837	1736027	-	191	2517906	5607110	9298125	4019446	2520779	3094382	3006026	3737457
SAUSA300_RS08645	NC_007793.1	1736105	1737871	-	1767	219	23	163	89	67	64	455	56
SAUSA300_RS08650	NC_007793.1	1737887	1739149	-	1263	20	10	10	0	0	2	38	0
SAUSA300_RS08655	NC_007793.1	1739610	1740485	-	876	90	28	34	29	99	49	519	43
SAUSA300_RS08660	NC_007793.1	1740482	1740934	-	453	1852	443	122	564	1405	650	2315	577
SAUSA300_RS08665	NC_007793.1	1740946	1743135	-	2190	733	276	108	599	764	405	2234	196
SAUSA300_RS08670	NC_007793.1	1743563	1744081	-	519	4	8	0	0	8	0	34	0
SAUSA300_RS08675	NC_007793.1	1744103	1746376	-	2274	48	24	64	12	38	38	145	18
SAUSA300_RS08680	NC_007793.1	1746579	1748858	-	2280	182	40	136	78	134	152	258	76
SAUSA300_RS08685	NC_007793.1	1749133	1749393	-	261	0	0	0	0	0	0	4	0
SAUSA300_RS08690	NC_007793.1	1749412	1750551	-	1140	475	188	153	184	315	279	423	148
SAUSA300_RS08695	NC_007793.1	1750574	1751599	-	1026	39	6	30	24	19	33	87	16
SAUSA300_RS08700	NC_007793.1	1751601	1752605	-	1005	116	14	201	33	45	74	238	27
SAUSA300_RS08705	NC_007793.1	1752637	1753239	-	603	86	64	150	58	63	56	324	18
SAUSA300_RS08710	NC_007793.1	1753253	1753708	-	456	19	8	37	27	18	5	32	9
SAUSA300_RS08715	NC_007793.1	1753721	1755013	-	1293	150	8	60	96	82	70	379	30
SAUSA300_RS08720	NC_007793.1	1755368	1755652	-	285	171	8	13	80	48	77	291	43
SAUSA300_RS08725	NC_007793.1	1755664	1755984	-	321	172	29	71	92	92	63	369	50
SAUSA300_RS08730	NC_007793.1	1755990	1756298	-	309	70	20	29	64	38	53	244	45
SAUSA300_RS08735	NC_007793.1	1756465	1756995	-	531	226	68	146	39	27	58	42	77
SAUSA300_RS08740	NC_007793.1	1756995	1757837	-	843	51	34	34	4	17	19	77	32
SAUSA300_RS08745	NC_007793.1	1758037	1758156	-	120	11	3	7	0	2	0	29	0
SAUSA300_RS08750	NC_007793.1	1758230	1758703	-	474	43	16	105	2	1	21	37	22
SAUSA300_RS15375	NC_007793.1	1758863	1759060	+	198	0	19	3	0	0	0	12	10
SAUSA300_RS08755	NC_007793.1	1759177	1759461	-	285	14	3	9	0	0	0	3	10
SAUSA300_RS08760	NC_007793.1	1759529	1760215	-	687	6	0	6	0	4	9	13	2
SAUSA300_RS08765	NC_007793.1	1760212	1760919	-	708	0	0	0	0	2	4	0	0
SAUSA300_RS08775	NC_007793.1	1761189	1762460	-	1272	137	107	116	103	216	267	147	20
SAUSA300_RS08780	NC_007793.1	1762473	1765103	-	2631	256	139	146	346	276	381	401	60
SAUSA300_RS08785	NC_007793.1	1765506	1766066	+	561	43	7	2	7	28	17	95	19
SAUSA300_RS08790	NC_007793.1	1766289	1767362	-	1074	170	61	612	348	290	346	0	176
SAUSA300_RS08795	NC_007793.1	1767396	1767497	-	102	2	1	15	7	4	3	0	0
SAUSA300_RS08800	NC_007793.1	1767558	1768844	-	1287	904	242	522	605	449	511	2050	156
SAUSA300_RS08805	NC_007793.1	1768892	1769866	-	975	419	36	201	114	82	90	178	107
SAUSA300_RS08810	NC_007793.1	1769869	1770537	-	669	16	6	10	0	2	8	7	0
SAUSA300_RS08815	NC_007793.1	1770559	1771485	-	927	76	14	47	34	18	25	139	36
SAUSA300_RS08820	NC_007793.1	1771527	1772342	-	816	7	5	20	8	15	24	25	15
SAUSA300_RS08825	NC_007793.1	1772364	1773710	-	1347	1033	229	585	648	748	709	3345	411
SAUSA300_RS08830	NC_007793.1	1773927	1774517	-	591	26	27	0	20	8	0	82	16
SAUSA300_RS08835	NC_007793.1	1774671	1775933	-	1263	574	120	232	386	440	338	802	194
SAUSA300_RS08840	NC_007793.1	1776084	1777385	-	1302	64	10	86	32	14	12	244	28
SAUSA300_RS08845	NC_007793.1	1777433	1777543	-	111	0	0	0	0	0	0	0	0
SAUSA300_RS08850	NC_007793.1	1777548	1778477	-	930	4	0	8	0	2	0	0	0
SAUSA300_RS08855	NC_007793.1	1778496	1779104	-	609	0	0	0	0	0	0	0	2
SAUSA300_RS08865	NC_007793.1	1779246	1779602	-	357	12	0	28	10	4	12	16	4
SAUSA300_RS08870	NC_007793.1	1779649	1779849	-	201	18	0	6	0	0	0	6	0
SAUSA300_RS08875	NC_007793.1	1779878	1780405	-	528	110	6	12	28	40	28	58	78
SAUSA300_RS08880	NC_007793.1	1780634	1782127	-	1494	74	56	96	74	78	110	384	40
SAUSA300_RS08885	NC_007793.1	1782553	1784490	-	1938	812	140	462	1227	487	1278	3659	276
SAUSA300_RS08890	NC_007793.1	1784688	1784810	-	123	18	12	2	28	38	14	51	1
SAUSA300_RS08895	NC_007793.1	1784903	1785823	-	921	152	56	10	89	152	62	310	14
SAUSA300_RS08900	NC_007793.1	1785823	1787223	-	1401	276	98	198	107	238	164	528	114
SAUSA300_RS08905	NC_007793.1	1787224	1787694	-	471	12	6	51	8	36	10	851	3
SAUSA300_RS08910	NC_007793.1	1787904	1788929	-	1026	838	390	1297	272	648	612	1444	610
SAUSA300_RS08915	NC_007793.1	1789099	1789722	-	624	34	10	0	12	20	8	100	10
SAUSA300_RS08920	NC_007793.1	1789738	1790610	-	873	72	0	0	6	4	24	31	32
SAUSA300_RS08925	NC_007793.1	1790626	1793256	-	2631	429	91	124	194	247	270	1180	126
SAUSA300_RS08930	NC_007793.1	1793550	1795037	-	1488	10	16	18	2	2	4	176	8
SAUSA300_RS08935	NC_007793.1	1795536	1797197	-	1662	433	134	242	168	394	499	715	114
SAUSA300_RS08940	NC_007793.1	1797197	1797901	-	705	0	0	22	0	12	12	36	4
SAUSA300_RS08950	NC_007793.1	1798291	1799559	-	1269	5738	1092	3933	1810	2495	3554	9780	1022
SAUSA300_RS08955	NC_007793.1	1799608	1800729	-	1122	3065	695	1913	1111	1389	1420	4573	391
SAUSA300_RS08960	NC_007793.1	1801077	1802438	+	1362	567	158	147	328	452	504	1064	268
SAUSA300_RS08975	NC_007793.1	1804763	1806520	-	1758	3003	457	1251	2340	2207	1344	3027	773
SAUSA300_RS08980	NC_007793.1	1806542	1807510	-	969	327	58	147	212	197	201	390	74
SAUSA300_RS08985	NC_007793.1	1807779	1808723	-	945	497	51	40	90	148	85	199	97
SAUSA300_RS08990	NC_007793.1	1808723	1809580	-	858	156	66	289	48	91	77	249	35
SAUSA300_RS08995	NC_007793.1	1809775	1811004	-	1230	322	54	153	100	116	112	386	70
SAUSA300_RS09000	NC_007793.1	1811454	1814651	-	3198	2289	1161	1951	883	2224	1437	3680	662
SAUSA300_RS09005	NC_007793.1	1814672	1815613	-	942	434	143	360	73	191	96	732	100
